Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
18200,    0.182000,    9.837573,   -1.784810,***************, 16546.05339898,***************,   0.9091238013
18300,    0.183000,    9.835784,   -1.794617,***************, 16728.37768019,***************,   0.9141189868
18400,    0.184000,    9.833984,   -1.804424,***************, 16911.70099855,***************,   0.9191141725
18500,    0.185000,    9.832175,   -1.814230,***************, 17096.02335407,***************,   0.9241093578
18600,    0.186000,    9.830355,   -1.824037,***************, 17281.34474675,***************,   0.9291045438
18700,    0.187000,    9.828526,   -1.833844,***************, 17467.66517658,***************,   0.9340997292
18800,    0.188000,    9.826688,   -1.843650,***************, 17654.98464357,***************,   0.9390949149
18900,    0.189000,    9.824839,   -1.853457,***************, 17843.30314772,***************,   0.9440901002
19000,    0.190000,    9.822981,   -1.863264,***************, 18032.62068903,***************,   0.9490852858
19100,    0.191000,    9.821112,   -1.873070,***************, 18222.93726749,***************,   0.9540804713
19200,    0.192000,    9.819234,   -1.882877,***************, 18414.25288311,***************,   0.9590756572
19300,    0.193000,    9.817347,   -1.892683,***************, 18606.56753589,***************,   0.9640708426
19400,    0.194000,    9.815449,   -1.902490,999933.53636000, 18799.88122582,***************,   0.9690660283
19500,    0.195000,    9.813542,   -1.912297,999739.21863773, 18994.19395292,***************,   0.9740612138
19600,    0.196000,    9.811624,   -1.922103,999543.90187829, 19189.50571717,***************,   0.9790563994
19700,    0.197000,    9.809697,   -1.931910,999347.58608170, 19385.81651857,***************,   0.9840515851
19800,    0.198000,    9.807760,   -1.941717,999150.27124795, 19583.12635714,***************,   0.9890467705
19900,    0.199000,    9.805814,   -1.951523,998951.95737704, 19781.43523286,***************,   0.9940419563
20000,    0.200000,    9.803857,   -1.961330,998752.64446898, 19980.74314574,***************,   0.9990371416
20100,    0.201000,    9.801891,   -1.971137,998552.33252376, 20181.05009577,***************,   1.0040323274
20200,    0.202000,    9.799915,   -1.980943,998351.02154138, 20382.35608297,***************,   1.0090275127
20300,    0.203000,    9.797929,   -1.990750,998148.71152184, 20584.66110732,***************,   1.0140226985
20400,    0.204000,    9.795933,   -2.000557,997945.40246515, 20787.96516883,***************,   1.0190178839
20500,    0.205000,    9.793928,   -2.010363,997741.09437130, 20992.26826749,***************,   1.0240130696
20600,    0.206000,    9.791912,   -2.020170,997535.78724029, 21197.57040331,***************,   1.0290082551
20700,    0.207000,    9.789887,   -2.029977,997329.48107212, 21403.87157629,***************,   1.0340034406
20800,    0.208000,    9.787852,   -2.039783,997122.17586680, 21611.17178643,***************,   1.0389986262
20900,    0.209000,    9.785808,   -2.049590,996913.87162432, 21819.47103373,***************,   1.0439938117
21000,    0.210000,    9.783753,   -2.059397,996704.56834468, 22028.76931818,***************,   1.0489889976
21100,    0.211000,    9.781689,   -2.069203,996494.26602789, 22239.06663979,***************,   1.0539841830
21200,    0.212000,    9.779615,   -2.079010,996282.96467394, 22450.36299855,***************,   1.0589793685
21300,    0.213000,    9.777531,   -2.088816,996070.66428283, 22662.65839448,***************,   1.0639745541
21400,    0.214000,    9.775437,   -2.098623,995857.36485456, 22875.95282756,***************,   1.0689697397
21500,    0.215000,    9.773333,   -2.108430,995643.06638914, 23090.24629780,***************,   1.0739649253
21600,    0.216000,    9.771220,   -2.118236,995427.76888656, 23305.53880519,***************,   1.0789601110
21700,    0.217000,    9.769097,   -2.128043,995211.47234682, 23521.83034974,***************,   1.0839552963
21800,    0.218000,    9.766964,   -2.137850,994994.17676992, 23739.12093145,***************,   1.0889504818
21900,    0.219000,    9.764821,   -2.147656,994775.88215587, 23957.41055032,***************,   1.0939456675
22000,    0.220000,    9.762668,   -2.157463,994556.58850466, 24176.69920635,***************,   1.0989408530
22100,    0.221000,    9.760506,   -2.167270,994336.29581629, 24396.98689953,***************,   1.1039360387
22200,    0.222000,    9.758334,   -2.177076,994115.00409077, 24618.27362987,***************,   1.1089312243
22300,    0.223000,    9.756152,   -2.186883,993892.71332808, 24840.55939736,***************,   1.1139264097
22400,    0.224000,    9.753960,   -2.196690,993669.42352824, 25063.84420202,***************,   1.1189215952
22500,    0.225000,    9.751758,   -2.206496,993445.13469125, 25288.12804383,***************,   1.1239167808
22600,    0.226000,    9.749547,   -2.216303,993219.84681709, 25513.41092280,***************,   1.1289119662
22700,    0.227000,    9.747325,   -2.226110,992993.55990578, 25739.69283892,***************,   1.1339071521
22800,    0.228000,    9.745094,   -2.235916,992766.27395731, 25966.97379221,***************,   1.1389023372
22900,    0.229000,    9.742854,   -2.245723,992537.98897169, 26195.25378265,***************,   1.1438975229
23000,    0.230000,    9.740603,   -2.255530,992308.70494891, 26424.53281024,***************,   1.1488927084
23100,    0.231000,    9.738342,   -2.265336,992078.42188897, 26654.81087500,***************,   1.1538878940
23200,    0.232000,    9.736072,   -2.275143,991847.13979187, 26886.08797691,***************,   1.1588830795
23300,    0.233000,    9.733792,   -2.284949,991614.85865761, 27118.36411598,***************,   1.1638782652
23400,    0.234000,    9.731502,   -2.294756,991381.57848620, 27351.63929221,***************,   1.1688734507
23500,    0.235000,    9.729202,   -2.304563,991147.29927763, 27585.91350559,***************,   1.1738686363
23600,    0.236000,    9.726893,   -2.314369,990912.02103190, 27821.18675613,***************,   1.1788638217
23700,    0.237000,    9.724574,   -2.324176,990675.74374902, 28057.45904383,***************,   1.1838590073
23800,    0.238000,    9.722244,   -2.333983,990438.46742898, 28294.73036869,***************,   1.1888541930
23900,    0.239000,    9.719905,   -2.343789,990200.19207178, 28533.00073070,***************,   1.1938493784
24000,    0.240000,    9.717557,   -2.353596,989960.91767742, 28772.27012987,***************,   1.1988445638
24100,    0.241000,    9.715198,   -2.363403,989720.64424591, 29012.53856620,***************,   1.2038397491
24200,    0.242000,    9.712830,   -2.373209,989479.37177724, 29253.80603968,***************,   1.2088349350
24300,    0.243000,    9.710452,   -2.383016,989237.10027141, 29496.07255032,***************,   1.2138301202
24400,    0.244000,    9.708064,   -2.392823,988993.82972843, 29739.33809812,***************,   1.2188253060
24500,    0.245000,    9.705666,   -2.402629,988749.56014829, 29983.60268308,***************,   1.2238204916
24600,    0.246000,    9.703258,   -2.412436,988504.29153099, 30228.86630519,***************,   1.2288156770
24700,    0.247000,    9.700841,   -2.422243,988258.02387653, 30475.12896447,***************,   1.2338108625
24800,    0.248000,    9.698414,   -2.432049,988010.75718492, 30722.39066089,***************,   1.2388060481
24900,    0.249000,    9.695977,   -2.441856,987762.49145614, 30970.65139448,***************,   1.2438012336
25000,    0.250000,    9.693530,   -2.451663,987513.22669021, 31219.91116522,***************,   1.2487964190
25100,    0.251000,    9.691073,   -2.461469,987262.96288713, 31470.16997312,***************,   1.2537916047
25200,    0.252000,    9.688607,   -2.471276,987011.70004689, 31721.42781818,***************,   1.2587867901
25300,    0.253000,    9.686131,   -2.481082,986759.43816948, 31973.68470040,***************,   1.2637819757
25400,    0.254000,    9.683645,   -2.490889,986506.17725493, 32226.94061977,***************,   1.2687771611
25500,    0.255000,    9.681149,   -2.500696,986251.91730321, 32481.19557630,***************,   1.2737723469
25600,    0.256000,    9.678643,   -2.510502,985996.65831434, 32736.44956999,***************,   1.2787675322
25700,    0.257000,    9.676128,   -2.520309,985740.40028831, 32992.70260083,***************,   1.2837627176
25800,    0.258000,    9.673602,   -2.530116,985483.14322512, 33249.95466883,***************,   1.2887579032
25900,    0.259000,    9.671067,   -2.539922,985224.88712478, 33508.20577399,***************,   1.2937530887
26000,    0.260000,    9.668522,   -2.549729,984965.63198728, 33767.45591631,***************,   1.2987482745
26100,    0.261000,    9.665968,   -2.559536,984705.37781262, 34027.70509578,***************,   1.3037434599
26200,    0.262000,    9.663403,   -2.569342,984444.12460080, 34288.95331241,***************,   1.3087386454
26300,    0.263000,    9.660829,   -2.579149,984181.87235183, 34551.20056620,***************,   1.3137338308
26400,    0.264000,    9.658245,   -2.588956,983918.62106570, 34814.44685714,***************,   1.3187290162
26500,    0.265000,    9.655651,   -2.598762,983654.37074241, 35078.69218525,***************,   1.3237242018
26600,    0.266000,    9.653047,   -2.608569,983389.12138196, 35343.93655051,***************,   1.3287193876
26700,    0.267000,    9.650434,   -2.618376,983122.87298436, 35610.17995292,***************,   1.3337145728
26800,    0.268000,    9.647810,   -2.628182,982855.62554960, 35877.42239250,***************,   1.3387097586
26900,    0.269000,    9.645177,   -2.637989,982587.37907768, 36145.66386923,***************,   1.3437049437
27000,    0.270000,    9.642534,   -2.647796,982318.13356861, 36414.90438312,***************,   1.3487001295
27100,    0.271000,    9.639882,   -2.657602,982047.88902238, 36685.14393417,***************,   1.3536953148
27200,    0.272000,    9.637219,   -2.667409,981776.64543899, 36956.38252237,***************,   1.3586905005
27300,    0.273000,    9.634547,   -2.677215,981504.40281844, 37228.62014773,***************,   1.3636856859
27400,    0.274000,    9.631865,   -2.687022,981231.16116074, 37501.85681025,***************,   1.3686808713
27500,    0.275000,    9.629173,   -2.696829,980956.92046588, 37776.09250992,***************,   1.3736760567
27600,    0.276000,    9.626471,   -2.706635,980681.68073386, 38051.32724676,***************,   1.3786712422
27700,    0.277000,    9.623759,   -2.716442,980405.44196468, 38327.56102075,***************,   1.3836664278
27800,    0.278000,    9.621038,   -2.726249,980128.20415835, 38604.79383189,***************,   1.3886616132
27900,    0.279000,    9.618307,   -2.736055,979849.96731486, 38883.02568020,***************,   1.3936567989
28000,    0.280000,    9.615566,   -2.745862,979570.73143421, 39162.25656566,***************,   1.3986519841
28100,    0.281000,    9.612815,   -2.755669,979290.49651641, 39442.48648828,***************,   1.4036471697
28200,    0.282000,    9.610054,   -2.765475,979009.26256145, 39723.71544806,***************,   1.4086423550
28300,    0.283000,    9.607284,   -2.775282,978727.02956933, 40005.94344499,***************,   1.4136375409
28400,    0.284000,    9.604503,   -2.785089,978443.79754005, 40289.17047908,***************,   1.4186327262
28500,    0.285000,    9.601713,   -2.794895,978159.56647362, 40573.39655033,***************,   1.4236279116
28600,    0.286000,    9.598914,   -2.804702,977874.33637003, 40858.62165873,***************,   1.4286230973
28700,    0.287000,    9.596104,   -2.814509,977588.10722928, 41144.84580430,***************,   1.4336182827
28800,    0.288000,    9.593284,   -2.824315,977300.87905137, 41432.06898702,***************,   1.4386134683
28900,    0.289000,    9.590455,   -2.834122,977012.65183631, 41720.29120690,***************,   1.4436086536
29000,    0.290000,    9.587616,   -2.843929,976723.42558409, 42009.51246393,***************,   1.4486038391
29100,    0.291000,    9.584767,   -2.853735,976433.20029471, 42299.73275812,***************,   1.4535990243
29200,    0.292000,    9.581909,   -2.863542,976141.97596818, 42590.95208947,***************,   1.4585942099
29300,    0.293000,    9.579040,   -2.873348,975849.75260448, 42883.17045798,***************,   1.4635893954
29400,    0.294000,    9.576162,   -2.883155,975556.53020363, 43176.38786364,***************,   1.4685845812
29500,    0.295000,    9.573274,   -2.892962,975262.30876563, 43470.60430646,***************,   1.4735797665
29600,    0.296000,    9.570376,   -2.902768,974967.08829046, 43765.81978644,***************,   1.4785749520
29700,    0.297000,    9.567468,   -2.912575,974670.86877814, 44062.03430358,***************,   1.4835701372
29800,    0.298000,    9.564551,   -2.922382,974373.65022866, 44359.24785787,***************,   1.4885653229
29900,    0.299000,    9.561623,   -2.932188,974075.43264203, 44657.46044932,***************,   1.4935605084
30000,    0.300000,    9.558686,   -2.941995,973776.21601823, 44956.67207793,***************,   1.4985556939
30100,    0.301000,    9.555739,   -2.951802,973476.00035728, 45256.88274369,***************,   1.5035508793
30200,    0.302000,    9.552782,   -2.961608,973174.78565918, 45558.09244662,***************,   1.5085460647
30300,    0.303000,    9.549816,   -2.971415,972872.57192391, 45860.30118670,***************,   1.5135412503
