Step,Time_s,Height_m,Velocity_m/s,Potential_Energy_J,Kinetic_Energy_J,Total_Energy_J,Energy_Error_J
10700,    0.107000,   99.943857,   -1.049312,513186.71087837,   288.25545398,513474.96633234,   0.0269397620
10800,    0.108000,   99.942802,   -1.059118,513181.29749684,   293.66858373,513474.96608057,   0.0271915355
10900,    0.109000,   99.941738,   -1.068925,513175.83376061,   299.13206819,513474.96582880,   0.0274433090
11000,    0.110000,   99.940664,   -1.078732,513170.31966969,   304.64590734,513474.96557702,   0.0276950824
11100,    0.111000,   99.939581,   -1.088538,513164.75522407,   310.21010118,513474.96532525,   0.0279468559
11200,    0.112000,   99.938487,   -1.098345,513159.14042375,   315.82464972,513474.96507348,   0.0281986294
11300,    0.113000,   99.937384,   -1.108151,513153.47526874,   321.48955296,513474.96482170,   0.0284504029
11400,    0.114000,   99.936271,   -1.117958,513147.75975904,   327.20481089,513474.96456993,   0.0287021762
11500,    0.115000,   99.935148,   -1.127765,513141.99389464,   332.97042352,513474.96431816,   0.0289539499
11600,    0.116000,   99.934015,   -1.137571,513136.17767554,   338.78639084,513474.96406638,   0.0292057233
11700,    0.117000,   99.932873,   -1.147378,513130.31110175,   344.65271286,513474.96381461,   0.0294574967
11800,    0.118000,   99.931720,   -1.157185,513124.39417327,   350.56938957,513474.96356284,   0.0297092703
11900,    0.119000,   99.930558,   -1.166991,513118.42689009,   356.53642098,513474.96331106,   0.0299610438
12000,    0.120000,   99.929386,   -1.176798,513112.40925221,   362.55380708,513474.96305929,   0.0302128172
12100,    0.121000,   99.928204,   -1.186605,513106.34125964,   368.62154788,513474.96280752,   0.0304645906
12200,    0.122000,   99.927013,   -1.196411,513100.22291237,   374.73964337,513474.96255574,   0.0307163642
12300,    0.123000,   99.925812,   -1.206218,513094.05421041,   380.90809356,513474.96230397,   0.0309681376
12400,    0.124000,   99.924600,   -1.216025,513087.83515375,   387.12689845,513474.96205219,   0.0312199111
12500,    0.125000,   99.923379,   -1.225831,513081.56574239,   393.39605803,513474.96180042,   0.0314716845
12600,    0.126000,   99.922149,   -1.235638,513075.24597634,   399.71557231,513474.96154865,   0.0317234580
12700,    0.127000,   99.920908,   -1.245445,513068.87585560,   406.08544128,513474.96129687,   0.0319752314
12800,    0.128000,   99.919658,   -1.255251,513062.45538016,   412.50566494,513474.96104510,   0.0322270050
12900,    0.129000,   99.918397,   -1.265058,513055.98455002,   418.97624331,513474.96079333,   0.0324787785
13000,    0.130000,   99.917127,   -1.274865,513049.46336519,   425.49717636,513474.96054155,   0.0327305519
13100,    0.131000,   99.915848,   -1.284671,513042.89182566,   432.06846412,513474.96028978,   0.0329823254
13200,    0.132000,   99.914558,   -1.294478,513036.26993144,   438.69010657,513474.96003801,   0.0332340988
13300,    0.133000,   99.913259,   -1.304284,513029.59768252,   445.36210371,513474.95978623,   0.0334858723
13400,    0.134000,   99.911949,   -1.314091,513022.87507891,   452.08445555,513474.95953446,   0.0337376457
